ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MCD,AEP,long_spread,2020-03-05,2020-03-10,0.065289,5
MCD,AEP,short_spread,2020-03-12,2020-03-17,0.281153,5
MCD,AEP,long_spread,2020-03-18,2020-03-27,0.256254,9
MCD,AEP,short_spread,2020-04-01,2020-05-28,0.020958,57
MCD,AEP,short_spread,2020-06-16,2020-07-01,0.035113,15
MCD,AEP,long_spread,2020-07-10,2020-07-15,0.025702,5
MCD,AEP,long_spread,2020-07-17,2020-07-28,0.068086,11
MCD,AEP,long_spread,2020-07-31,2020-08-03,0.016819,3
MCD,AEP,short_spread,2020-08-11,2020-10-01,-0.0805,51
MCD,AEP,long_spread,2020-10-19,2020-11-18,0.054414,30
MCD,AEP,short_spread,2020-12-22,2021-01-25,0.011866,34
MCD,AEP,short_spread,2021-02-09,2021-03-05,0.015783,24
MCD,AEP,long_spread,2021-03-24,2021-04-09,0.015713,16
MCD,AEP,long_spread,2021-04-14,2021-04-27,0.015962,13
MCD,AEP,long_spread,2021-05-04,2021-05-05,0.017683,1
MCD,AEP,short_spread,2021-05-27,2021-06-28,-0.002121,32
MCD,AEP,short_spread,2021-07-21,2021-07-26,0.013061,5
MCD,AEP,long_spread,2021-08-03,2021-09-10,0.005198,38
MCD,AEP,short_spread,2021-09-16,2021-10-20,-0.005439,34
MCD,AEP,short_spread,2021-11-04,2021-12-15,0.018248,41
MCD,AEP,long_spread,2022-01-05,2022-01-06,0.011909,1
MCD,AEP,long_spread,2022-01-07,2022-02-14,0.007083,38
MCD,AEP,long_spread,2022-02-24,2022-04-29,-0.171392,64
MCD,AEP,long_spread,2022-05-18,2022-05-31,0.055481,13
MCD,AEP,short_spread,2022-06-13,2022-08-02,-0.011862,50
MCD,AEP,long_spread,2022-08-19,2022-09-20,0.032422,32
MCD,AEP,short_spread,2022-09-29,2022-11-21,-0.083369,53
MCD,AEP,long_spread,2022-12-23,2022-12-30,-0.005225,7
